id,created_at,updated_at,date,new_to_brand_sales_clicks,viewability_rate,purchases_clicks,detail_page_views,match_type,new_to_brand_sales_percentage,units_sold,sales,qualified_borrows_from_clicks,add_to_list_from_clicks,cost_type,campaign_status,targeting_type,view_click_through_rate,campaign_budget_amount,royalty_qualified_borrows_from_clicks,purchases_promoted,new_to_brand_detail_page_view_rate,purchases,ad_group_name,campaign_id,new_to_brand_purchases_percentage,qualified_borrows,keyword_text,sales_promoted,campaign_budget_currency_code,video_complete_views,sales_clicks,video_first_quartile_views,new_to_brand_purchases_rate,units_sold_clicks,keyword_id,branded_searches,video5_second_views,top_of_search_impression_share,royalty_qualified_borrows,new_to_brand_ecp_detail_page_view,new_to_brand_purchases,branded_searches_clicks,ad_group_id,add_to_list,keyword_bid,new_to_brand_sales,new_to_brand_purchases_clicks,campaign_budget_type,ad_keyword_status,add_to_cart_clicks,video_unmutes,add_to_cart,keyword_type,video_third_quartile_views,add_to_cart_rate,cost,targeting_id,new_to_brand_detail_page_views_clicks,impressions,new_to_brand_units_sold,targeting_expression,viewable_impressions,detail_page_views_clicks,targeting_text,e_cp_add_to_cart,new_to_brand_detail_page_views,clicks,video_midpoint_views,video5_second_view_rate,new_to_brand_units_sold_clicks,new_to_brand_units_sold_percentage,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
9150,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-15,52.96,81.72,3,24,EXACT,100.0,3,52.96,0,1,CPC,ENABLED,EXACT,11.84,300.0,0,3,860.215053763441,3,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,100.0,0,magnesium gummies for women,52.96,USD,0,52.96,0,33.33,3,213223474575661,0,0,28.88,0,3.83,3,0,451520502515809,1,3.5,52.96,3,DAILY_BUDGET,ENABLED,5,0,5,EXACT,0,537.6344086021505,30.66,213223474575661,8,93,3,magnesium gummies for women,76,24,magnesium gummies for women,6.13,8,9,0,0.0,3,100.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
9151,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-16,0.0,75.68,0,16,EXACT,0.0,0,0.0,0,0,CPC,ENABLED,EXACT,14.29,300.0,0,0,945.9459459459459,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,0.0,0,magnesium gummies for women,0.0,USD,0,0.0,0,0.0,0,213223474575661,0,0,19.87,0,4.06,0,0,451520502515809,0,3.5,0.0,0,DAILY_BUDGET,ENABLED,4,0,4,EXACT,0,540.5405405405405,28.45,213223474575661,7,74,0,magnesium gummies for women,56,16,magnesium gummies for women,7.11,7,8,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
9152,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-17,52.96,66.94,3,16,EXACT,100.0,3,52.96,0,0,CPC,ENABLED,EXACT,12.05,300.0,0,3,725.8064516129033,3,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,100.0,0,magnesium gummies for women,52.96,USD,0,52.96,0,30.0,3,213223474575661,0,0,24.19,0,3.89,3,0,451520502515809,0,3.5,52.96,3,DAILY_BUDGET,ENABLED,4,0,4,EXACT,0,322.5806451612903,35.02,213223474575661,9,124,3,magnesium gummies for women,83,16,magnesium gummies for women,8.76,9,10,0,0.0,3,100.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
9156,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-11,0.0,66.67,0,0,EXACT,0.0,0,0.0,0,0,CPC,ENABLED,EXACT,0.0,300.0,0,0,0.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,0.0,0,women magnesium gummies,0.0,USD,0,0.0,0,0.0,0,219053034520263,0,0,8.33,0,0.0,0,0,451520502515809,0,3.5,0.0,0,DAILY_BUDGET,ENABLED,0,0,0,EXACT,0,0.0,0.0,219053034520263,0,3,0,women magnesium gummies,2,0,women magnesium gummies,0.0,0,0,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
9157,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-12,0.0,100.0,0,2,EXACT,0.0,0,0.0,0,0,CPC,ENABLED,EXACT,100.0,300.0,0,0,10000.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,0.0,0,women magnesium gummies,0.0,USD,0,0.0,0,0.0,0,219053034520263,0,0,14.29,0,4.0,0,0,451520502515809,0,3.5,0.0,0,DAILY_BUDGET,ENABLED,0,0,0,EXACT,0,0.0,4.0,219053034520263,1,1,0,women magnesium gummies,1,2,women magnesium gummies,0.0,1,1,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
9158,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-13,0.0,50.0,0,0,EXACT,0.0,0,0.0,0,0,CPC,ENABLED,EXACT,0.0,300.0,0,0,0.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,0.0,0,women magnesium gummies,0.0,USD,0,0.0,0,0.0,0,219053034520263,0,0,25.0,0,0.0,0,0,451520502515809,0,3.5,0.0,0,DAILY_BUDGET,ENABLED,0,0,0,EXACT,0,0.0,0.0,219053034520263,0,4,0,women magnesium gummies,2,0,women magnesium gummies,0.0,0,0,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
9159,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-14,0.0,50.0,0,0,EXACT,0.0,0,0.0,0,0,CPC,ENABLED,EXACT,0.0,300.0,0,0,0.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,0.0,0,women magnesium gummies,0.0,USD,0,0.0,0,0.0,0,219053034520263,0,0,10.0,0,0.0,0,0,451520502515809,0,3.5,0.0,0,DAILY_BUDGET,ENABLED,0,0,0,EXACT,0,0.0,0.0,219053034520263,0,2,0,women magnesium gummies,1,0,women magnesium gummies,0.0,0,0,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
9160,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-15,0.0,100.0,0,0,EXACT,0.0,0,0.0,0,0,CPC,ENABLED,EXACT,0.0,300.0,0,0,0.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,0.0,0,women magnesium gummies,0.0,USD,0,0.0,0,0.0,0,219053034520263,0,0,16.67,0,0.0,0,0,451520502515809,0,3.5,0.0,0,DAILY_BUDGET,ENABLED,0,0,0,EXACT,0,0.0,0.0,219053034520263,0,1,0,women magnesium gummies,1,0,women magnesium gummies,0.0,0,0,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
9161,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-16,0.0,42.86,0,0,EXACT,0.0,0,0.0,0,0,CPC,ENABLED,EXACT,0.0,300.0,0,0,0.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,0.0,0,women magnesium gummies,0.0,USD,0,0.0,0,0.0,0,219053034520263,0,0,13.21,0,0.0,0,0,451520502515809,0,3.5,0.0,0,DAILY_BUDGET,ENABLED,0,0,0,EXACT,0,0.0,0.0,219053034520263,0,7,0,women magnesium gummies,3,0,women magnesium gummies,0.0,0,0,0,0.0,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
9162,2026-04-21 01:59:27.891834,2026-04-21 01:59:27.891834,2026-04-17,19.99,61.54,1,2,EXACT,100.0,1,19.99,0,0,CPC,ENABLED,EXACT,12.5,300.0,0,1,769.2307692307693,1,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,100.0,0,women magnesium gummies,19.99,USD,0,19.99,0,100.0,1,219053034520263,0,0,21.43,0,3.5,1,0,451520502515809,0,3.5,19.99,1,DAILY_BUDGET,ENABLED,1,0,1,EXACT,0,769.2307692307693,3.5,219053034520263,1,13,1,women magnesium gummies,8,2,women magnesium gummies,3.5,1,1,0,0.0,1,100.0,Inner-SB-Collection-gumm-magnesium-CPC-1,sbTargeting,US,INNERBRIGHTNESS,sbTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:27
