id,created_at,updated_at,date,attributed_sales_same_sku1d,roas_clicks14d,units_sold_clicks1d,attributed_sales_same_sku14d,sales7d,attributed_sales_same_sku30d,kindle_edition_normalized_pages_royalties14d,units_sold_same_sku1d,campaign_status,advertised_sku,sales_other_sku7d,purchases_same_sku7d,campaign_budget_amount,purchases7d,units_sold_same_sku30d,cost_per_click,units_sold_clicks14d,ad_group_name,campaign_id,click_through_rate,kindle_edition_normalized_pages_read14d,acos_clicks14d,units_sold_clicks30d,qualified_borrows,portfolio_id,ad_id,campaign_budget_currency_code,roas_clicks7d,units_sold_same_sku14d,units_sold_clicks7d,attributed_sales_same_sku7d,royalty_qualified_borrows,sales1d,ad_group_id,add_to_list,purchases_same_sku14d,units_sold_other_sku7d,spend,purchases_same_sku1d,campaign_budget_type,advertised_asin,purchases1d,units_sold_same_sku7d,cost,retailer,sales14d,acos_clicks7d,sales30d,impressions,purchases_same_sku30d,purchases14d,purchases30d,clicks,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
34601,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-04,389.87,2.1382291341740562,15,419.86,479.84,440.01,0,13,ENABLED,IBU_CTMP_12G1F,59.98,14,300.0,16,15,4.675208333333333,16,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,427396974780100,0.7896035532159895,0,46.76767255751918,17,0,197748004457307.0,499950997002014,USD,2.1382291341740562,14,16,419.86,0,449.85,531228150922353,0,14,2,224.41,13,DAILY_BUDGET,B0FNBN38V4,15,14,224.41,Amazon,479.84,46.76767255751918,499.99,6079,15,16,17,48,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34602,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-05,389.87,1.7198335167859107,13,499.99,479.84,499.99,0,13,ENABLED,IBU_CTMP_12G1F,0.0,16,300.0,16,17,4.5425,17,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,427396974780100,0.6481012658227848,0,58.145162903258075,17,0,197748004457307.0,499950997002014,USD,1.6505228398458995,17,16,479.84,0,389.87,531228150922353,0,17,0,290.72,13,DAILY_BUDGET,B0FNBN38V4,13,16,290.72,Amazon,499.99,60.586862287429156,499.99,9875,17,17,17,64,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34603,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-06,449.85,1.5065190090192944,21,479.84,659.78,479.84,0,15,ENABLED,IBU_CTMP_12G1F,179.94,16,300.0,22,16,5.033908045977012,22,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,427396974780100,0.8522727272727272,0,66.37818666828336,22,0,197748004457307.0,499950997002014,USD,1.5065190090192944,16,22,479.84,0,629.79,531228150922353,0,16,6,437.95,15,DAILY_BUDGET,B0FNBN38V4,21,16,437.95,Amazon,659.78,66.37818666828336,659.78,10208,16,22,22,87,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34604,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-07,209.93,0.9706468157147836,11,269.91,359.88,269.91,0,7,ENABLED,IBU_CTMP_12G1F,119.96,8,300.0,12,9,4.67046511627907,13,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,427396974780100,0.7431731766332527,0,103.02408495139406,13,0,197748004457307.0,499950997002014,USD,0.8959816760444156,9,12,239.92,0,329.89,531228150922353,0,9,4,401.66,7,DAILY_BUDGET,B0FNBN38V4,11,8,401.66,Amazon,389.87,111.60942536401024,389.87,11572,9,13,13,86,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34605,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-08,539.82,1.9153054457026355,23,599.8,779.74,599.8,0,18,ENABLED,IBU_CTMP_12G1F,179.94,20,300.0,26,20,4.964756097560976,26,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,427396974780100,0.7998439328911432,0,52.2109934080591,26,0,197748004457307.0,499950997002014,USD,1.9153054457026355,20,26,599.8,0,689.77,531228150922353,0,20,6,407.11,18,DAILY_BUDGET,B0FNBN38V4,23,20,407.11,Amazon,779.74,52.2109934080591,779.74,10252,20,26,26,82,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34606,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-09,509.83,1.4560019419832504,20,509.83,599.8,509.83,0,17,ENABLED,IBU_CTMP_12G1F,89.97,16,300.0,19,17,5.023780487804878,20,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,427396974780100,0.616634080312829,0,68.6812270756919,20,0,197748004457307.0,499950997002014,USD,1.4560019419832504,17,20,509.83,0,599.8,531228150922353,0,16,3,411.95,16,DAILY_BUDGET,B0FNBN38V4,19,17,411.95,Amazon,599.8,68.6812270756919,599.8,13298,16,19,19,82,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34607,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-10,359.88,1.21028592308395,16,389.87,509.83,389.87,0,12,ENABLED,IBU_CTMP_12G1F,119.96,13,300.0,17,13,4.865333333333333,18,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,427396974780100,0.8254608823259654,0,82.62510378141747,18,0,197748004457307.0,499950997002014,USD,1.164314424043117,13,17,389.87,0,479.84,531228150922353,0,13,4,437.88,12,DAILY_BUDGET,B0FNBN38V4,16,13,437.88,Amazon,529.96,85.8874526803052,529.96,10903,13,18,18,90,Inner-SP-KW-Creatine Gummies-creatine-EM-CPC-60,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34622,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-04,89.97,1.9678477690288714,3,89.97,89.97,89.97,0,3,ENABLED,IBU_CTLM_12G1F,0.0,3,1000.0,3,3,3.048,3,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,0.8192244675040962,0,50.81693897965989,3,0,197748004457307.0,399175395039376,USD,1.9678477690288714,3,3,89.97,0,89.97,439851151117545,0,3,0,45.72,3,DAILY_BUDGET,B0FNBYKPZT,3,3,45.72,Amazon,89.97,50.81693897965989,89.97,1831,3,3,3,15,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34623,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-05,29.99,0.5942143847830395,1,29.99,29.99,29.99,0,1,ENABLED,IBU_CTLM_12G1F,0.0,1,1000.0,1,1,3.882307692307692,1,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,0.6575619625695498,0,168.28942980993665,1,0,197748004457307.0,399175395039376,USD,0.5942143847830395,1,1,29.99,0,29.99,439851151117545,0,1,0,50.47,1,DAILY_BUDGET,B0FNBYKPZT,1,1,50.47,Amazon,29.99,168.28942980993665,29.99,1977,1,1,1,13,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34624,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-06,29.99,0.8605451936872309,1,29.99,29.99,29.99,0,1,ENABLED,IBU_CTLM_12G1F,0.0,1,1000.0,1,1,3.4850000000000003,1,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,0.41649312786339027,0,116.20540180060021,1,0,197748004457307.0,399175395039376,USD,0.8605451936872309,1,1,29.99,0,29.99,439851151117545,0,1,0,34.85,1,DAILY_BUDGET,B0FNBYKPZT,1,1,34.85,Amazon,29.99,116.20540180060021,29.99,2401,1,1,1,10,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
