id,created_at,updated_at,date,attributed_sales_same_sku1d,roas_clicks14d,units_sold_clicks1d,attributed_sales_same_sku14d,sales7d,campaign_rule_based_budget_amount,attributed_sales_same_sku30d,kindle_edition_normalized_pages_royalties14d,units_sold_same_sku1d,campaign_status,purchases_same_sku7d,campaign_budget_amount,purchases7d,units_sold_same_sku30d,cost_per_click,units_sold_clicks14d,campaign_id,click_through_rate,kindle_edition_normalized_pages_read14d,campaign_applicable_budget_rule_name,acos_clicks14d,units_sold_clicks30d,qualified_borrows,campaign_budget_currency_code,campaign_applicable_budget_rule_id,units_sold_same_sku14d,units_sold_clicks7d,campaign_bidding_strategy,attributed_sales_same_sku7d,top_of_search_impression_share,royalty_qualified_borrows,sales1d,add_to_list,purchases_same_sku14d,spend,purchases_same_sku1d,campaign_budget_type,purchases1d,units_sold_same_sku7d,cost,retailer,sales14d,sales30d,impressions,purchases_same_sku30d,purchases14d,purchases30d,clicks,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
30894,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-07,23.99,0.462770061728395,1,23.99,23.99,,23.99,0,1,ENABLED,1,1.0,1,1,2.88,1,181887194239676,0.9513742071881607,0,,216.09003751563156,1,0,USD,,1,1,manual,23.99,0.0,0,23.99,0,1,51.84,1,DAILY_BUDGET,1,1,51.84,Amazon,23.99,23.99,1892,1,1,1,18,Inner-SP-KW-Berberine Capsules-BM-berberine with ceylon cinnamon-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30895,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-08,24.49,0.4286714510764922,1,24.49,24.49,,24.49,0,1,ENABLED,1,1.0,1,1,2.72,1,181887194239676,0.7172131147540983,0,,233.27888934258883,1,0,USD,,1,1,manual,24.49,0.0,0,24.49,0,1,57.13,1,DAILY_BUDGET,1,1,57.13,Amazon,24.49,24.49,2928,1,1,1,21,Inner-SP-KW-Berberine Capsules-BM-berberine with ceylon cinnamon-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30896,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-09,48.98,0.9656940063091483,2,48.98,48.98,,48.98,0,2,ENABLED,2,1.0,2,2,2.42,2,181887194239676,0.6055363321799307,0,,103.55247039608004,2,0,USD,,2,2,manual,48.98,0.01,0,48.98,0,2,50.72,2,DAILY_BUDGET,2,2,50.72,Amazon,48.98,48.98,3468,2,2,2,21,Inner-SP-KW-Berberine Capsules-BM-berberine with ceylon cinnamon-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30897,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-10,24.49,0.4715963797419603,1,24.49,24.49,,24.49,0,1,ENABLED,1,1.0,1,1,2.73,1,181887194239676,0.5480242284395731,0,,212.0457329522254,1,0,USD,,1,1,manual,24.49,0.01,0,24.49,0,1,51.93,1,DAILY_BUDGET,1,1,51.93,Amazon,24.49,24.49,3467,1,1,1,19,Inner-SP-KW-Berberine Capsules-BM-berberine with ceylon cinnamon-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30912,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-04,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,50.0,0,0,0.0,0,1182589332550,nan,0,,nan,0,0,USD,,0,0,manual,0.0,nan,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,0,0,0,0,0,IB-SP-KW-inositol-myo inositol-PM,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30913,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-06,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,50.0,0,0,0.0,0,1182589332550,nan,0,,nan,0,0,USD,,0,0,manual,0.0,nan,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,0,0,0,0,0,IB-SP-KW-inositol-myo inositol-PM,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30914,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-07,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,50.0,0,0,0.0,0,1182589332550,nan,0,,nan,0,0,USD,,0,0,manual,0.0,nan,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,0,0,0,0,0,IB-SP-KW-inositol-myo inositol-PM,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30930,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-04,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,112480725342057,0.0,0,,nan,0,0,USD,,0,0,manual,0.0,0.0,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,1,0,0,0,0,Inner-SP-KW-NMN Capsules-nmn-EM-CPC-1.2w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30931,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-05,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,112480725342057,0.0,0,,nan,0,0,USD,,0,0,manual,0.0,0.0,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,4,0,0,0,0,Inner-SP-KW-NMN Capsules-nmn-EM-CPC-1.2w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30932,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-06,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,112480725342057,nan,0,,nan,0,0,USD,,0,0,manual,0.0,nan,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,0,0,0,0,0,Inner-SP-KW-NMN Capsules-nmn-EM-CPC-1.2w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
