id,created_at,updated_at,date,attributed_sales_same_sku1d,roas_clicks14d,units_sold_clicks1d,match_type,attributed_sales_same_sku14d,units_sold_other_sku14d,sales7d,sales_other_sku14d,attributed_sales_same_sku30d,kindle_edition_normalized_pages_royalties14d,search_term,units_sold_same_sku1d,campaign_status,keyword,sales_other_sku7d,purchases_same_sku7d,campaign_budget_amount,purchases7d,units_sold_same_sku30d,cost_per_click,units_sold_clicks14d,ad_group_name,campaign_id,click_through_rate,purchase_click_rate14d,kindle_edition_normalized_pages_read14d,acos_clicks14d,units_sold_clicks30d,qualified_borrows,portfolio_id,campaign_budget_currency_code,roas_clicks7d,units_sold_same_sku14d,units_sold_clicks7d,keyword_id,attributed_sales_same_sku7d,royalty_qualified_borrows,sales1d,ad_group_id,add_to_list,keyword_bid,targeting,purchases_same_sku14d,units_sold_other_sku7d,spend,purchases_same_sku1d,campaign_budget_type,keyword_type,purchases1d,units_sold_same_sku7d,cost,retailer,sales14d,acos_clicks7d,sales30d,impressions,purchases_same_sku30d,purchases14d,purchases30d,clicks,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
223299,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-15,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,creatine gummy,0,ENABLED,creatine gummies,0.0,0,700.0,0,0,3.0,0,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,0.46728971962616817,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,402815703536000,0.0,0,0.0,425782617077083,0,1.5,creatine gummies,0,0,3.0,0,DAILY_BUDGET,BROAD,0,0,3.0,Amazon,0.0,nan,0.0,214,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
223302,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-15,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,creatine gummy no sugar,0,ENABLED,creatine,0.0,0,100.0,0,0,2.01,0,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,313950625346433,33.33333333333333,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,407556257369922,0.0,0,0.0,343251949063559,0,1.7,creatine,0,0,2.01,0,DAILY_BUDGET,BROAD,0,0,2.01,Amazon,0.0,nan,0.0,3,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
223305,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-13,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,creatine gummy tested,0,ENABLED,creatine gummies,0.0,0,700.0,0,0,4.64,0,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,100.0,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,402815703536000,0.0,0,0.0,425782617077083,0,1.5,creatine gummies,0,0,4.64,0,DAILY_BUDGET,BROAD,0,0,4.64,Amazon,0.0,nan,0.0,1,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
223306,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-11,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,creatine gummys,0,ENABLED,creatine gummies,0.0,0,700.0,0,0,2.7,0,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,1.282051282051282,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,402815703536000,0.0,0,0.0,425782617077083,0,1.5,creatine gummies,0,0,2.7,0,DAILY_BUDGET,BROAD,0,0,2.7,Amazon,0.0,nan,0.0,78,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
223307,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-12,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,creatine gummys,0,ENABLED,creatine gummies,0.0,0,700.0,0,0,3.0,0,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,4.0,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,402815703536000,0.0,0,0.0,425782617077083,0,1.5,creatine gummies,0,0,3.0,0,DAILY_BUDGET,BROAD,0,0,3.0,Amazon,0.0,nan,0.0,25,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
223308,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-13,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,creatine gummys,0,ENABLED,creatine gummies,0.0,0,700.0,0,0,2.94,0,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,0.3444316877152698,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,402815703536000,0.0,0,0.0,425782617077083,0,1.5,creatine gummies,0,0,8.83,0,DAILY_BUDGET,BROAD,0,0,8.83,Amazon,0.0,nan,0.0,871,0,0,0,3,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
223309,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-16,0.0,0.0,0,EXACT,0.0,0,0.0,0.0,0.0,0,creatine gummy’s￼,0,ENABLED,creatine gummies,0.0,0,1000.0,0,0,6.12,0,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,25.0,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,415672664361434,0.0,0,0.0,439851151117545,0,1.8,creatine gummies,0,0,6.12,0,DAILY_BUDGET,EXACT,0,0,6.12,Amazon,0.0,nan,0.0,4,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
223310,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-15,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,creatine gushers,0,ENABLED,creatine,0.0,0,100.0,0,0,4.25,0,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,313950625346433,33.33333333333333,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,407556257369922,0.0,0,0.0,343251949063559,0,1.7,creatine,0,0,4.25,0,DAILY_BUDGET,BROAD,0,0,4.25,Amazon,0.0,nan,0.0,3,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
223311,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-13,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,0,creatine hcl for women gummies,0,ENABLED,creatine,0.0,0,100.0,0,0,4.25,0,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,313950625346433,100.0,0.0,0,nan,0,0,197748004457307.0,USD,0.0,0,0,407556257369922,0.0,0,0.0,343251949063559,0,1.7,creatine,0,0,4.25,0,DAILY_BUDGET,BROAD,0,0,4.25,Amazon,0.0,nan,0.0,1,0,0,0,1,Inner-SP-KW-Creatine Gummies-creatine-BM-CPC-70,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
223312,2026-04-21 01:59:17.615685,2026-04-21 01:59:17.615685,2026-04-14,29.99,6.247916666666667,1,BROAD,29.99,0,29.99,0.0,29.99,0,creatine hcl gummies ecowise,1,ENABLED,creatine gummies,0.0,1,700.0,1,1,4.8,1,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,391617266091470,50.0,100.0,0,16.005335111703904,1,0,197748004457307.0,USD,6.247916666666667,1,1,402815703536000,29.99,0,29.99,425782617077083,0,1.5,creatine gummies,1,0,4.8,1,DAILY_BUDGET,BROAD,1,1,4.8,Amazon,29.99,16.005335111703904,29.99,2,1,1,1,1,Inner-SP-KW-Creatine Gummies-creatine gummies-BM-CPC-600,spSearchTerm,US,INNERBRIGHTNESS,spSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:15
