id,parentasin,childasin,salesbyasin_unitsordered,salesbyasin_unitsorderedb2b,salesbyasin_orderedproductsales_amount,salesbyasin_orderedproductsales_currencycode,salesbyasin_orderedproductsalesb2b_amount,salesbyasin_orderedproductsalesb2b_currencycode,salesbyasin_totalorderitems,salesbyasin_totalorderitemsb2b,trafficbyasin_browsersessions,trafficbyasin_browsersessionsb2b,trafficbyasin_mobileappsessions,trafficbyasin_mobileappsessionsb2b,trafficbyasin_sessions,trafficbyasin_sessionsb2b,trafficbyasin_browsersessionpercentage,trafficbyasin_browsersessionpercentageb2b,trafficbyasin_mobileappsessionpercentage,trafficbyasin_mobileappsessionpercentageb2b,trafficbyasin_sessionpercentage,trafficbyasin_sessionpercentageb2b,trafficbyasin_browserpageviews,trafficbyasin_browserpageviewsb2b,trafficbyasin_mobileapppageviews,trafficbyasin_mobileapppageviewsb2b,trafficbyasin_pageviews,trafficbyasin_pageviewsb2b,trafficbyasin_browserpageviewspercentage,trafficbyasin_browserpageviewspercentageb2b,trafficbyasin_mobileapppageviewspercentage,trafficbyasin_mobileapppageviewspercentageb2b,trafficbyasin_pageviewspercentage,trafficbyasin_pageviewspercentageb2b,trafficbyasin_buyboxpercentage,trafficbyasin_buyboxpercentageb2b,trafficbyasin_unitsessionpercentage,trafficbyasin_unitsessionpercentageb2b,report_date,country_code,customer,created_at,updated_at
1571,B0GSRJTLWY,B0FNBN38V4,104,3,3118.9600,USD,89.9700,USD,100,2,110,3,240,5,350,8,20.7900,23.0800,13.8200,29.4100,15.4500,26.6700,140,4,329,7,469,11,20.4400,26.6700,14.6700,29.1700,16.0200,28.2100,99.7700,100.0000,29.7100,37.5000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1572,B0GQZ8FRX8,B0GQZ8FRX8,3,0,59.9700,USD,0.0000,USD,3,0,5,0,7,0,12,0,0.9500,0.0000,0.4000,0.0000,0.5300,0.0000,6,0,7,0,13,0,0.8800,0.0000,0.3100,0.0000,0.4400,0.0000,100.0000,0.0000,25.0000,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1454,B0GBNWRHVX,B0GBNWRHVX,0,0,0.0000,USD,0.0000,USD,0,0,0,0,3,0,3,0,0.0000,0.0000,0.2300,0.0000,0.1700,0.0000,0,0,3,0,3,0,0.0000,0.0000,0.1700,0.0000,0.1300,0.0000,66.6700,0.0000,0.0000,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1455,B0GS61KH2Y,B0G26383JK,26,0,623.7400,USD,0.0000,USD,26,0,47,0,75,0,122,0,10.7300,0.0000,5.6600,0.0000,6.9200,0.0000,55,0,92,0,147,0,10.6000,0.0000,5.3500,0.0000,6.5700,0.0000,100.0000,0.0000,21.3100,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1456,B0GSRJTLWY,B0FNBYKPZT,29,2,869.7100,USD,59.9800,USD,29,2,20,2,88,1,108,3,4.5700,25.0000,6.6500,7.6900,6.1300,14.2900,20,2,102,1,122,3,3.8500,16.6700,5.9300,5.5600,5.4500,10.0000,100.0000,0.0000,26.8500,66.6700,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1457,B0GSHWM86S,B0GKSVSK3P,28,0,643.7200,USD,0.0000,USD,28,0,29,0,75,1,104,1,6.6200,0.0000,5.6600,7.6900,5.9000,4.7600,42,0,106,1,148,1,8.0900,0.0000,6.1600,5.5600,6.6100,3.3300,100.0000,0.0000,26.9200,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1458,B0GSRJTLWY,B0FNBN38V4,111,1,3328.8900,USD,29.9900,USD,104,1,116,2,310,5,426,7,26.4800,25.0000,23.4100,38.4600,24.1800,33.3300,137,3,403,5,540,8,26.4000,25.0000,23.4300,27.7800,24.1200,26.6700,99.4200,100.0000,26.0600,14.2900,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1459,B0GQZ8FRX8,B0GQZ8FRX8,0,0,0.0000,USD,0.0000,USD,0,0,1,0,1,0,2,0,0.2300,0.0000,0.0800,0.0000,0.1100,0.0000,1,0,1,0,2,0,0.1900,0.0000,0.0600,0.0000,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1460,B0GGRSXJDL,B0G6L2NQP4,1,0,35.9900,USD,0.0000,USD,1,0,5,0,5,1,10,1,1.1400,0.0000,0.3800,7.6900,0.5700,4.7600,5,0,10,1,15,1,0.9600,0.0000,0.5800,5.5600,0.6700,3.3300,66.6700,100.0000,10.0000,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1461,B0GSRJTLWY,B0GJ66LHGM,15,0,449.8500,USD,0.0000,USD,14,0,18,1,73,1,91,2,4.1100,12.5000,5.5100,7.6900,5.1600,9.5200,22,1,82,1,104,2,4.2400,8.3300,4.7700,5.5600,4.6400,6.6700,100.0000,0.0000,16.4800,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1462,B0GTB8S1VY,B0G25Y3DVZ,26,0,636.7400,USD,0.0000,USD,23,0,39,1,97,0,136,1,8.9000,12.5000,7.3300,0.0000,7.7200,4.7600,46,1,132,0,178,1,8.8600,8.3300,7.6700,0.0000,7.9500,3.3300,100.0000,100.0000,19.1200,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1463,B0GBN5WH6R,B0GBN5WH6R,0,0,0.0000,USD,0.0000,USD,0,0,1,0,0,0,1,0,0.2300,0.0000,0.0000,0.0000,0.0600,0.0000,1,0,0,0,1,0,0.1900,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1464,B0GS5J5TRR,B0GJBFKQZC,1,0,23.9900,USD,0.0000,USD,1,0,2,0,3,0,5,0,0.4600,0.0000,0.2300,0.0000,0.2800,0.0000,3,0,3,0,6,0,0.5800,0.0000,0.1700,0.0000,0.2700,0.0000,83.3300,0.0000,20.0000,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1465,B0GS61KH2Y,B0DKT3PXRP,170,4,3398.3000,USD,79.9600,USD,156,3,123,2,464,2,587,4,28.0800,25.0000,35.0500,15.3800,33.3100,19.0500,147,5,632,5,779,10,28.3200,41.6700,36.7400,27.7800,34.7900,33.3300,99.4600,100.0000,28.9600,100.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1466,B0GSRRVKB4,B0FYFK76DM,4,0,83.9600,USD,0.0000,USD,4,0,2,0,7,0,9,0,0.4600,0.0000,0.5300,0.0000,0.5100,0.0000,2,0,7,0,9,0,0.3900,0.0000,0.4100,0.0000,0.4000,0.0000,100.0000,0.0000,44.4400,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1467,B0GWHWMMYC,B0GWHWMMYC,0,0,0.0000,USD,0.0000,USD,0,0,2,0,0,0,2,0,0.4600,0.0000,0.0000,0.0000,0.1100,0.0000,2,0,0,0,2,0,0.3900,0.0000,0.0000,0.0000,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1468,B0GVBPLXSW,B0FYFBZ7W5,16,0,361.4400,USD,0.0000,USD,16,0,16,0,55,1,71,1,3.6500,0.0000,4.1500,7.6900,4.0300,4.7600,18,0,69,1,87,1,3.4700,0.0000,4.0100,5.5600,3.8900,3.3300,93.9800,100.0000,22.5400,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1469,B0GS61KH2Y,B0DN5QQLB6,35,0,979.6500,USD,0.0000,USD,32,0,17,0,68,1,85,1,3.8800,0.0000,5.1400,7.6900,4.8200,4.7600,18,0,78,3,96,3,3.4700,0.0000,4.5300,16.6700,4.2900,10.0000,100.0000,100.0000,41.1800,0.0000,2026-04-10 00:00:00,US,innerbrightness,2026-04-20 00:22:29.415967,2026-04-20 00:22:29.415967
1573,B0GGRSXJDL,B0G6L2NQP4,1,0,35.9900,USD,0.0000,USD,1,0,4,0,6,0,10,0,0.7600,0.0000,0.3500,0.0000,0.4400,0.0000,4,0,8,0,12,0,0.5800,0.0000,0.3600,0.0000,0.4100,0.0000,91.6700,0.0000,10.0000,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1574,B0GSRJTLWY,B0GJ66LHGM,7,0,209.9300,USD,0.0000,USD,6,0,10,1,35,0,45,1,1.8900,7.6900,2.0200,0.0000,1.9900,3.3300,11,1,41,0,52,1,1.6100,6.6700,1.8300,0.0000,1.7800,2.5600,100.0000,100.0000,15.5600,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1575,B0GTB8S1VY,B0G25Y3DVZ,34,1,832.6600,USD,24.4900,USD,30,1,34,1,82,3,116,4,6.4300,7.6900,4.7200,17.6500,5.1200,13.3300,54,1,125,7,179,8,7.8800,6.6700,5.5800,29.1700,6.1200,20.5100,100.0000,100.0000,29.3100,25.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1576,B0GS5J5TRR,B0GJBFKQZC,16,0,326.2400,USD,0.0000,USD,16,0,8,0,56,1,64,1,1.5100,0.0000,3.2300,5.8800,2.8300,3.3300,8,0,64,1,72,1,1.1700,0.0000,2.8500,4.1700,2.4600,2.5600,100.0000,0.0000,25.0000,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1577,B0GS61KH2Y,B0DKT3PXRP,268,2,3749.3200,USD,27.9800,USD,246,2,189,5,676,3,865,8,35.7300,38.4600,38.9400,17.6500,38.1900,26.6700,259,6,851,3,1110,9,37.8100,40.0000,37.9600,12.5000,37.9200,23.0800,98.5600,100.0000,30.9800,25.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1578,B0GSRJTLWY,B0GL11MTZM,15,0,449.8500,USD,0.0000,USD,15,0,10,0,41,0,51,0,1.8900,0.0000,2.3600,0.0000,2.2500,0.0000,10,0,58,0,68,0,1.4600,0.0000,2.5900,0.0000,2.3200,0.0000,100.0000,0.0000,29.4100,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1579,B0GSRRVKB4,B0FYFK76DM,5,0,99.9500,USD,0.0000,USD,5,0,1,0,5,1,6,1,0.1900,0.0000,0.2900,5.8800,0.2600,3.3300,1,0,7,1,8,1,0.1500,0.0000,0.3100,4.1700,0.2700,2.5600,100.0000,0.0000,83.3300,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1470,B0GBNWRHVX,B0GBNWRHVX,0,0,0.0000,USD,0.0000,USD,0,0,1,0,5,0,6,0,0.2600,0.0000,0.3800,0.0000,0.3500,0.0000,1,0,5,0,6,0,0.2100,0.0000,0.2900,0.0000,0.2700,0.0000,50.0000,0.0000,0.0000,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1471,B0GS61KH2Y,B0G26383JK,31,0,743.6900,USD,0.0000,USD,29,0,37,1,125,1,162,2,9.6100,11.1100,9.4300,9.0900,9.4700,10.0000,47,1,161,1,208,2,9.7700,10.0000,9.3400,8.3300,9.4400,9.0900,96.9200,0.0000,19.1400,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1472,B0GSRJTLWY,B0FNBYKPZT,34,0,1019.6600,USD,0.0000,USD,33,0,19,0,79,0,98,0,4.9400,0.0000,5.9600,0.0000,5.7300,0.0000,23,0,100,0,123,0,4.7800,0.0000,5.8000,0.0000,5.5800,0.0000,100.0000,0.0000,34.6900,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1473,B0GSHWM86S,B0GKSVSK3P,25,0,574.7500,USD,0.0000,USD,25,0,39,0,91,1,130,1,10.1300,0.0000,6.8600,9.0900,7.6000,5.0000,46,0,126,1,172,1,9.5600,0.0000,7.3100,8.3300,7.8000,4.5500,100.0000,0.0000,19.2300,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1474,B0GSRJTLWY,B0FNBN38V4,86,1,2579.1400,USD,29.9900,USD,84,1,89,3,279,1,368,4,23.1200,33.3300,21.0400,9.0900,21.5100,20.0000,115,3,363,1,478,4,23.9100,30.0000,21.0700,8.3300,21.6900,18.1800,100.0000,100.0000,23.3700,25.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1475,B0GGRSXJDL,B0G6L2NQP4,3,0,107.9700,USD,0.0000,USD,3,0,1,0,7,0,8,0,0.2600,0.0000,0.5300,0.0000,0.4700,0.0000,1,0,10,0,11,0,0.2100,0.0000,0.5800,0.0000,0.5000,0.0000,100.0000,0.0000,37.5000,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1476,B0GSRJTLWY,B0GJ66LHGM,12,0,359.8800,USD,0.0000,USD,12,0,22,0,71,0,93,0,5.7100,0.0000,5.3500,0.0000,5.4400,0.0000,25,0,81,0,106,0,5.2000,0.0000,4.7000,0.0000,4.8100,0.0000,100.0000,0.0000,12.9000,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1477,B0GTB8S1VY,B0G25Y3DVZ,31,1,759.1900,USD,24.4900,USD,27,1,30,1,83,1,113,2,7.7900,11.1100,6.2600,9.0900,6.6000,10.0000,42,2,107,1,149,3,8.7300,20.0000,6.2100,8.3300,6.7600,13.6400,99.2700,100.0000,27.4300,50.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1478,B0GL11MTZM,B0GL11MTZM,0,0,0.0000,USD,0.0000,USD,0,0,0,0,1,0,1,0,0.0000,0.0000,0.0800,0.0000,0.0600,0.0000,0,0,1,0,1,0,0.0000,0.0000,0.0600,0.0000,0.0500,0.0000,100.0000,0.0000,0.0000,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1479,B0GBN5WH6R,B0GBN5WH6R,0,0,0.0000,USD,0.0000,USD,0,0,0,0,1,0,1,0,0.0000,0.0000,0.0800,0.0000,0.0600,0.0000,0,0,1,0,1,0,0.0000,0.0000,0.0600,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1480,B0GS5J5TRR,B0GJBFKQZC,1,0,23.9900,USD,0.0000,USD,1,0,2,0,5,0,7,0,0.5200,0.0000,0.3800,0.0000,0.4100,0.0000,3,0,5,0,8,0,0.6200,0.0000,0.2900,0.0000,0.3600,0.0000,100.0000,0.0000,14.2900,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1481,B0GS61KH2Y,B0DKT3PXRP,150,2,2998.5000,USD,39.9800,USD,137,1,115,3,438,6,553,9,29.8700,33.3300,33.0300,54.5500,32.3200,45.0000,141,3,563,7,704,10,29.3100,30.0000,32.6800,58.3300,31.9400,45.4500,99.3900,100.0000,27.1200,22.2200,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1482,B0GSRRVKB4,B0FYFK76DM,2,0,41.9800,USD,0.0000,USD,2,0,0,0,2,0,2,0,0.0000,0.0000,0.1500,0.0000,0.1200,0.0000,0,0,3,0,3,0,0.0000,0.0000,0.1700,0.0000,0.1400,0.0000,100.0000,0.0000,100.0000,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1483,B0GWHWMMYC,B0GWHWMMYC,0,0,0.0000,USD,0.0000,USD,0,0,4,0,3,0,7,0,1.0400,0.0000,0.2300,0.0000,0.4100,0.0000,5,0,3,0,8,0,1.0400,0.0000,0.1700,0.0000,0.3600,0.0000,12.5000,0.0000,0.0000,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1484,B0GVBPLXSW,B0FYFBZ7W5,13,0,293.6700,USD,0.0000,USD,13,0,9,1,68,0,77,1,2.3400,11.1100,5.1300,0.0000,4.5000,5.0000,11,1,96,0,107,1,2.2900,10.0000,5.5700,0.0000,4.8500,4.5500,100.0000,100.0000,16.8800,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1485,B0GS61KH2Y,B0DN5QQLB6,18,0,503.8200,USD,0.0000,USD,18,0,17,0,68,1,85,1,4.4200,0.0000,5.1300,9.0900,4.9700,5.0000,21,0,98,1,119,1,4.3700,0.0000,5.6900,8.3300,5.4000,4.5500,100.0000,100.0000,21.1800,0.0000,2026-04-11 00:00:00,US,innerbrightness,2026-04-20 00:22:30.041527,2026-04-20 00:22:30.041527
1580,B0GWHWMMYC,B0GWHWMMYC,0,0,0.0000,USD,0.0000,USD,0,0,3,0,1,0,4,0,0.5700,0.0000,0.0600,0.0000,0.1800,0.0000,3,0,1,0,4,0,0.4400,0.0000,0.0400,0.0000,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1581,B0GVBPLXSW,B0FYFBZ7W5,26,0,587.3400,USD,0.0000,USD,21,0,17,1,62,1,79,2,3.2100,7.6900,3.5700,5.8800,3.4900,6.6700,18,1,88,1,106,2,2.6300,6.6700,3.9300,4.1700,3.6200,5.1300,99.0200,100.0000,32.9100,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1486,B0GBNWRHVX,B0GBNWRHVX,0,0,0.0000,USD,0.0000,USD,0,0,1,0,3,0,4,0,0.1700,0.0000,0.1900,0.0000,0.1900,0.0000,2,0,3,0,5,0,0.2700,0.0000,0.1500,0.0000,0.1800,0.0000,20.0000,0.0000,0.0000,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1487,B0GS61KH2Y,B0G26383JK,28,0,671.7200,USD,0.0000,USD,28,0,42,0,124,1,166,1,7.2300,0.0000,7.9700,5.8800,7.7700,3.4500,49,0,155,2,204,2,6.7200,0.0000,7.6600,10.0000,7.4100,5.8800,97.4200,0.0000,16.8700,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1488,B0GSRJTLWY,B0FNBYKPZT,36,1,1079.6400,USD,29.9900,USD,36,1,34,0,88,1,122,1,5.8500,0.0000,5.6600,5.8800,5.7100,3.4500,37,0,105,1,142,1,5.0800,0.0000,5.1900,5.0000,5.1600,2.9400,100.0000,100.0000,29.5100,100.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1489,B0GSHWM86S,B0GKSVSK3P,19,0,436.8100,USD,0.0000,USD,19,0,38,2,76,0,114,2,6.5400,16.6700,4.8800,0.0000,5.3300,6.9000,49,3,103,0,152,3,6.7200,21.4300,5.0900,0.0000,5.5200,8.8200,100.0000,100.0000,16.6700,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1490,B0GSRJTLWY,B0FNBN38V4,112,2,3358.8800,USD,59.9800,USD,111,2,134,2,346,6,480,8,23.0600,16.6700,22.2400,35.2900,22.4600,27.5900,170,3,449,7,619,10,23.3200,21.4300,22.1800,35.0000,22.4800,29.4100,99.4900,100.0000,23.3300,25.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1491,B0GGRSXJDL,B0G6L2NQP4,0,0,0.0000,USD,0.0000,USD,0,0,4,0,3,1,7,1,0.6900,0.0000,0.1900,5.8800,0.3300,3.4500,5,0,4,2,9,2,0.6900,0.0000,0.2000,10.0000,0.3300,5.8800,75.0000,100.0000,0.0000,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1492,B0GSRJTLWY,B0GJ66LHGM,20,1,599.8000,USD,29.9900,USD,20,1,21,1,72,2,93,3,3.6100,8.3300,4.6300,11.7600,4.3500,10.3400,25,1,85,2,110,3,3.4300,7.1400,4.2000,10.0000,4.0000,8.8200,100.0000,100.0000,21.5100,33.3300,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1493,B0GTB8S1VY,B0G25Y3DVZ,34,0,833.1600,USD,0.0000,USD,31,0,28,0,70,1,98,1,4.8200,0.0000,4.5000,5.8800,4.5900,3.4500,29,0,94,1,123,1,3.9800,0.0000,4.6400,5.0000,4.4700,2.9400,100.0000,0.0000,34.6900,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1494,B0GL11MTZM,B0GL11MTZM,0,0,0.0000,USD,0.0000,USD,0,0,1,0,0,0,1,0,0.1700,0.0000,0.0000,0.0000,0.0500,0.0000,1,0,0,0,1,0,0.1400,0.0000,0.0000,0.0000,0.0400,0.0000,100.0000,0.0000,0.0000,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1495,B0GBN5WH6R,B0GBN5WH6R,0,0,0.0000,USD,0.0000,USD,0,0,0,0,1,0,1,0,0.0000,0.0000,0.0600,0.0000,0.0500,0.0000,0,0,1,0,1,0,0.0000,0.0000,0.0500,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1496,B0GS5J5TRR,B0GJBFKQZC,1,0,23.9900,USD,0.0000,USD,1,0,4,0,6,0,10,0,0.6900,0.0000,0.3900,0.0000,0.4700,0.0000,5,0,9,0,14,0,0.6900,0.0000,0.4400,0.0000,0.5100,0.0000,100.0000,0.0000,10.0000,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1497,B0GS61KH2Y,B0DKT3PXRP,231,1,4617.6900,USD,19.9900,USD,221,1,129,4,609,5,738,9,22.2000,33.3300,39.1400,29.4100,34.5300,31.0300,178,4,809,5,987,9,24.4200,28.5700,39.9700,25.0000,35.8500,26.4700,99.8900,100.0000,31.3000,11.1100,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1498,B0GSRRVKB4,B0FYFK76DM,3,0,62.9700,USD,0.0000,USD,3,0,4,0,3,0,7,0,0.6900,0.0000,0.1900,0.0000,0.3300,0.0000,4,0,3,0,7,0,0.5500,0.0000,0.1500,0.0000,0.2500,0.0000,100.0000,0.0000,42.8600,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1499,B0GWHWMMYC,B0GWHWMMYC,0,0,0.0000,USD,0.0000,USD,0,0,0,0,2,0,2,0,0.0000,0.0000,0.1300,0.0000,0.0900,0.0000,0,0,2,0,2,0,0.0000,0.0000,0.1000,0.0000,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1500,B0GVBPLXSW,B0FYFBZ7W5,18,0,406.6200,USD,0.0000,USD,18,0,114,1,52,0,166,1,19.6200,8.3300,3.3400,0.0000,7.7700,3.4500,135,1,65,0,200,1,18.5200,7.1400,3.2100,0.0000,7.2600,2.9400,64.5800,100.0000,10.8400,0.0000,2026-04-12 00:00:00,US,innerbrightness,2026-04-20 00:22:30.678734,2026-04-20 00:22:30.678734
1156,B0GBNWRHVX,B0GBNWRHVX,0,0,0.0000,USD,0.0000,USD,0,0,0,0,5,0,5,0,0.0000,0.0000,0.4200,0.0000,0.3300,0.0000,0,0,7,0,7,0,0.0000,0.0000,0.4500,0.0000,0.3500,0.0000,66.6700,0.0000,0.0000,0.0000,2026-04-04 00:00:00,US,innerbrightness,2026-04-19 00:17:27.214605,2026-04-19 00:17:27.214605
1157,B0GS61KH2Y,B0G26383JK,20,0,479.8000,USD,0.0000,USD,20,0,20,0,62,0,82,0,5.9300,0.0000,5.2100,0.0000,5.3700,0.0000,25,0,80,0,105,0,5.7900,0.0000,5.1600,0.0000,5.3000,0.0000,99.0000,0.0000,24.3900,0.0000,2026-04-04 00:00:00,US,innerbrightness,2026-04-19 00:17:27.214605,2026-04-19 00:17:27.214605
1158,B0GSRJTLWY,B0FNBYKPZT,30,0,899.7000,USD,0.0000,USD,30,0,23,0,87,1,110,1,6.8200,0.0000,7.3200,8.3300,7.2100,5.0000,29,0,111,2,140,2,6.7100,0.0000,7.1600,11.7600,7.0600,8.0000,100.0000,0.0000,27.2700,0.0000,2026-04-04 00:00:00,US,innerbrightness,2026-04-19 00:17:27.214605,2026-04-19 00:17:27.214605
1159,B0GSHWM86S,B0GKSVSK3P,11,0,252.8900,USD,0.0000,USD,11,0,25,0,56,0,81,0,7.4200,0.0000,4.7100,0.0000,5.3100,0.0000,31,0,65,0,96,0,7.1800,0.0000,4.1900,0.0000,4.8400,0.0000,100.0000,0.0000,13.5800,0.0000,2026-04-04 00:00:00,US,innerbrightness,2026-04-19 00:17:27.214605,2026-04-19 00:17:27.214605
1160,B0GSRJTLWY,B0FNBN38V4,92,0,2759.0800,USD,0.0000,USD,90,0,88,2,276,5,364,7,26.1100,25.0000,23.2100,41.6700,23.8500,35.0000,111,2,367,6,478,8,25.6900,25.0000,23.6800,35.2900,24.1200,32.0000,99.5600,0.0000,25.2700,0.0000,2026-04-04 00:00:00,US,innerbrightness,2026-04-19 00:17:27.214605,2026-04-19 00:17:27.214605
1161,B0GGRSXJDL,B0G6L2NQP4,1,0,35.9900,USD,0.0000,USD,1,0,3,1,6,2,9,3,0.8900,12.5000,0.5000,16.6700,0.5900,15.0000,4,1,6,2,10,3,0.9300,12.5000,0.3900,11.7600,0.5000,12.0000,90.0000,100.0000,11.1100,0.0000,2026-04-04 00:00:00,US,innerbrightness,2026-04-19 00:17:27.214605,2026-04-19 00:17:27.214605
