id,parentasin,childasin,salesbyasin_unitsordered,salesbyasin_unitsorderedb2b,salesbyasin_orderedproductsales_amount,salesbyasin_orderedproductsales_currencycode,salesbyasin_orderedproductsalesb2b_amount,salesbyasin_orderedproductsalesb2b_currencycode,salesbyasin_totalorderitems,salesbyasin_totalorderitemsb2b,trafficbyasin_browsersessions,trafficbyasin_browsersessionsb2b,trafficbyasin_mobileappsessions,trafficbyasin_mobileappsessionsb2b,trafficbyasin_sessions,trafficbyasin_sessionsb2b,trafficbyasin_browsersessionpercentage,trafficbyasin_browsersessionpercentageb2b,trafficbyasin_mobileappsessionpercentage,trafficbyasin_mobileappsessionpercentageb2b,trafficbyasin_sessionpercentage,trafficbyasin_sessionpercentageb2b,trafficbyasin_browserpageviews,trafficbyasin_browserpageviewsb2b,trafficbyasin_mobileapppageviews,trafficbyasin_mobileapppageviewsb2b,trafficbyasin_pageviews,trafficbyasin_pageviewsb2b,trafficbyasin_browserpageviewspercentage,trafficbyasin_browserpageviewspercentageb2b,trafficbyasin_mobileapppageviewspercentage,trafficbyasin_mobileapppageviewspercentageb2b,trafficbyasin_pageviewspercentage,trafficbyasin_pageviewspercentageb2b,trafficbyasin_buyboxpercentage,trafficbyasin_buyboxpercentageb2b,trafficbyasin_unitsessionpercentage,trafficbyasin_unitsessionpercentageb2b,report_date,country_code,customer,created_at,updated_at
1433,B0GGRSXJDL,B0G6L2NQP4,1,0,35.9900,USD,0.0000,USD,1,0,5,0,3,0,8,0,1.0900,0.0000,0.2300,0.0000,0.4500,0.0000,7,0,3,0,10,0,1.2300,0.0000,0.1800,0.0000,0.4500,0.0000,100.0000,0.0000,12.5000,0.0000,2026-04-08 00:00:00,US,innerbrightness,2026-04-20 00:22:28.185569,2026-04-20 00:22:28.185569
1434,B0GSRJTLWY,B0GJ66LHGM,7,0,209.9300,USD,0.0000,USD,7,0,25,1,58,0,83,1,5.4700,4.5500,4.3800,0.0000,4.6600,2.7800,28,1,65,0,93,1,4.9000,4.0000,3.8800,0.0000,4.1400,2.5600,100.0000,100.0000,8.4300,0.0000,2026-04-08 00:00:00,US,innerbrightness,2026-04-20 00:22:28.185569,2026-04-20 00:22:28.185569
1435,B0GTB8S1VY,B0G25Y3DVZ,26,1,636.7400,USD,24.4900,USD,25,1,39,2,89,2,128,4,8.5300,9.0900,6.7300,14.2900,7.1900,11.1100,53,2,105,2,158,4,9.2800,8.0000,6.2700,14.2900,7.0400,10.2600,100.0000,100.0000,20.3100,25.0000,2026-04-08 00:00:00,US,innerbrightness,2026-04-20 00:22:28.185569,2026-04-20 00:22:28.185569
1436,B0GS5J5TRR,B0GJBFKQZC,1,0,23.9900,USD,0.0000,USD,1,0,1,0,6,0,7,0,0.2200,0.0000,0.4500,0.0000,0.3900,0.0000,1,0,7,0,8,0,0.1800,0.0000,0.4200,0.0000,0.3600,0.0000,100.0000,0.0000,14.2900,0.0000,2026-04-08 00:00:00,US,innerbrightness,2026-04-20 00:22:28.185569,2026-04-20 00:22:28.185569
1437,B0GS61KH2Y,B0DKT3PXRP,151,0,3006.4900,USD,0.0000,USD,149,0,135,3,532,6,667,9,29.5400,13.6400,40.2100,42.8600,37.4700,25.0000,166,4,686,6,852,10,29.0700,16.0000,40.9800,42.8600,37.9500,25.6400,100.0000,100.0000,22.6400,0.0000,2026-04-08 00:00:00,US,innerbrightness,2026-04-20 00:22:28.185569,2026-04-20 00:22:28.185569
1438,B0GSRRVKB4,B0FYFK76DM,5,0,104.9500,USD,0.0000,USD,5,0,2,0,3,0,5,0,0.4400,0.0000,0.2300,0.0000,0.2800,0.0000,2,0,4,0,6,0,0.3500,0.0000,0.2400,0.0000,0.2700,0.0000,100.0000,0.0000,100.0000,0.0000,2026-04-08 00:00:00,US,innerbrightness,2026-04-20 00:22:28.185569,2026-04-20 00:22:28.185569
1439,B0GVBPLXSW,B0FYFBZ7W5,9,0,203.3100,USD,0.0000,USD,9,0,16,1,58,0,74,1,3.5000,4.5500,4.3800,0.0000,4.1600,2.7800,25,1,76,0,101,1,4.3800,4.0000,4.5400,0.0000,4.5000,2.5600,97.8700,0.0000,12.1600,0.0000,2026-04-08 00:00:00,US,innerbrightness,2026-04-20 00:22:28.185569,2026-04-20 00:22:28.185569
1440,B0GS61KH2Y,B0DN5QQLB6,36,0,1007.6400,USD,0.0000,USD,35,0,28,2,71,0,99,2,6.1300,9.0900,5.3700,0.0000,5.5600,5.5600,32,2,85,0,117,2,5.6000,8.0000,5.0800,0.0000,5.2100,5.1300,100.0000,0.0000,36.3600,0.0000,2026-04-08 00:00:00,US,innerbrightness,2026-04-20 00:22:28.185569,2026-04-20 00:22:28.185569
1540,B0GQZ8FRX8,B0GQZ8FRX8,0,0,0.0000,USD,0.0000,USD,0,0,4,0,8,0,12,0,0.7200,0.0000,0.4600,0.0000,0.5200,0.0000,5,0,12,0,17,0,0.7100,0.0000,0.5400,0.0000,0.5800,0.0000,100.0000,0.0000,0.0000,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1541,B0GGRSXJDL,B0G6L2NQP4,0,0,0.0000,USD,0.0000,USD,0,0,4,0,4,0,8,0,0.7200,0.0000,0.2300,0.0000,0.3500,0.0000,7,0,5,0,12,0,0.9900,0.0000,0.2300,0.0000,0.4100,0.0000,100.0000,0.0000,0.0000,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1542,B0GSRJTLWY,B0GJ66LHGM,8,0,239.9200,USD,0.0000,USD,8,0,17,1,42,1,59,2,3.0800,6.2500,2.4100,4.0000,2.5700,4.8800,18,1,48,1,66,2,2.5500,5.0000,2.1700,2.7800,2.2600,3.5700,100.0000,0.0000,13.5600,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1543,B0GTB8S1VY,B0G25Y3DVZ,30,0,734.7000,USD,0.0000,USD,29,0,31,2,77,2,108,4,5.6200,12.5000,4.4200,8.0000,4.7100,9.7600,43,3,105,4,148,7,6.1000,15.0000,4.7400,11.1100,5.0700,12.5000,100.0000,100.0000,27.7800,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1544,B0GBN5WH6R,B0GBN5WH6R,0,0,0.0000,USD,0.0000,USD,0,0,0,0,2,0,2,0,0.0000,0.0000,0.1100,0.0000,0.0900,0.0000,0,0,2,0,2,0,0.0000,0.0000,0.0900,0.0000,0.0700,0.0000,50.0000,0.0000,0.0000,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1545,B0GS5J5TRR,B0GJBFKQZC,17,1,346.6300,USD,20.3900,USD,16,1,19,0,85,1,104,1,3.4400,0.0000,4.8800,4.0000,4.5300,2.4400,21,0,107,1,128,1,2.9800,0.0000,4.8300,2.7800,4.3800,1.7900,99.1400,100.0000,16.3500,100.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1546,B0GS61KH2Y,B0DKT3PXRP,318,0,4448.8200,USD,0.0000,USD,300,0,188,3,649,4,837,7,34.0600,18.7500,37.2300,16.0000,36.4700,17.0700,249,3,851,5,1100,8,35.3200,15.0000,38.3900,13.8900,37.6500,14.2900,99.7100,100.0000,37.9900,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1547,B0GSRJTLWY,B0GL11MTZM,16,0,479.8400,USD,0.0000,USD,15,0,9,1,37,2,46,3,1.6300,6.2500,2.1200,8.0000,2.0000,7.3200,9,1,40,2,49,3,1.2800,5.0000,1.8000,5.5600,1.6800,5.3600,100.0000,0.0000,34.7800,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1548,B0GSRRVKB4,B0FYFK76DM,8,0,159.9200,USD,0.0000,USD,8,0,1,0,4,0,5,0,0.1800,0.0000,0.2300,0.0000,0.2200,0.0000,2,0,5,0,7,0,0.2800,0.0000,0.2300,0.0000,0.2400,0.0000,100.0000,0.0000,160.0000,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
