id,created_at,updated_at,date,attributed_sales_same_sku1d,roas_clicks14d,units_sold_clicks1d,match_type,attributed_sales_same_sku14d,sales7d,attributed_sales_same_sku30d,kindle_edition_normalized_pages_royalties14d,units_sold_same_sku1d,campaign_status,keyword,sales_other_sku7d,purchases_same_sku7d,campaign_budget_amount,purchases7d,units_sold_same_sku30d,cost_per_click,units_sold_clicks14d,ad_group_name,campaign_id,click_through_rate,kindle_edition_normalized_pages_read14d,acos_clicks14d,units_sold_clicks30d,qualified_borrows,portfolio_id,campaign_budget_currency_code,roas_clicks7d,units_sold_same_sku14d,units_sold_clicks7d,keyword_id,attributed_sales_same_sku7d,top_of_search_impression_share,royalty_qualified_borrows,sales1d,ad_group_id,add_to_list,keyword_bid,targeting,purchases_same_sku14d,units_sold_other_sku7d,purchases_same_sku1d,campaign_budget_type,ad_keyword_status,keyword_type,purchases1d,units_sold_same_sku7d,cost,retailer,sales14d,acos_clicks7d,sales30d,impressions,purchases_same_sku30d,purchases14d,purchases30d,clicks,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
40711,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-17,0.0,nan,0,EXACT,0.0,0.0,0.0,0,0,PAUSED,magnesium complex for women,0.0,0,1.0,0,0,0.0,0,Inner-SP-KW-Complex-magnesium complex for women-EM-CPC-1k,345330397911117,nan,0,nan,0,0,18976432727508.0,USD,nan,0,0,359120757312344,0.0,nan,0,0.0,455241455675192,0,1.0,magnesium complex for women,0,0,0,DAILY_BUDGET,ENABLED,EXACT,0,0,0.0,Amazon,0.0,nan,0.0,0,0,0,0,0,Inner-SP-KW-Complex-magnesium complex for women-EM-CPC-1k,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40712,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-11,146.94,3.748469387755102,6,TARGETING_EXPRESSION,146.94,146.94,146.94,0,6,ENABLED,"asin=""B0DBLHXG3Z""",0.0,2,180.0,2,6,2.45,6,Inner-SP-KW-Berberine Capsules-PAT,287272276943680,1.9417475728155338,0,26.677555464815573,6,0,189812334889736.0,USD,3.748469387755102,6,6,522284620832806,146.94,10.49,0,146.94,301827846242541,0,1.0,"asin=""B0DBLHXG3Z""",2,0,2,DAILY_BUDGET,ENABLED,TARGETING_EXPRESSION,2,6,39.2,Amazon,146.94,26.677555464815573,146.94,824,2,2,2,16,Inner-SP-KW-Berberine Capsules-PAT,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40713,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-12,73.47,1.6640996602491507,3,TARGETING_EXPRESSION,73.47,73.47,73.47,0,3,ENABLED,"asin=""B0DBLHXG3Z""",0.0,3,180.0,3,3,2.45,3,Inner-SP-KW-Berberine Capsules-PAT,287272276943680,1.4527845036319613,0,60.09255478426569,3,0,189812334889736.0,USD,1.6640996602491507,3,3,522284620832806,73.47,11.14,0,73.47,301827846242541,0,1.0,"asin=""B0DBLHXG3Z""",3,0,3,DAILY_BUDGET,ENABLED,TARGETING_EXPRESSION,3,3,44.15,Amazon,73.47,60.09255478426569,73.47,1239,3,3,3,18,Inner-SP-KW-Berberine Capsules-PAT,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40714,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-13,0.0,0.8424492604059167,0,TARGETING_EXPRESSION,24.49,24.49,24.49,0,0,ENABLED,"asin=""B0DBLHXG3Z""",0.0,1,180.0,1,1,2.24,1,Inner-SP-KW-Berberine Capsules-PAT,287272276943680,1.169064748201439,0,118.70151082074317,1,0,189812334889736.0,USD,0.8424492604059167,1,1,522284620832806,24.49,0.75,0,0.0,301827846242541,0,1.0,"asin=""B0DBLHXG3Z""",1,0,0,DAILY_BUDGET,ENABLED,TARGETING_EXPRESSION,0,1,29.07,Amazon,24.49,118.70151082074317,24.49,1112,1,1,1,13,Inner-SP-KW-Berberine Capsules-PAT,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40715,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-14,73.47,2.474987367357251,3,TARGETING_EXPRESSION,97.96,97.96,97.96,0,3,ENABLED,"asin=""B0DBLHXG3Z""",0.0,4,180.0,4,4,2.47,4,Inner-SP-KW-Berberine Capsules-PAT,287272276943680,3.4482758620689653,0,40.40424663127807,4,0,189812334889736.0,USD,2.474987367357251,4,4,522284620832806,97.96,3.3,0,73.47,301827846242541,0,1.0,"asin=""B0DBLHXG3Z""",4,0,3,DAILY_BUDGET,ENABLED,TARGETING_EXPRESSION,3,4,39.58,Amazon,97.96,40.40424663127807,97.96,464,4,4,4,16,Inner-SP-KW-Berberine Capsules-PAT,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40716,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-15,171.43,3.358738244514107,7,TARGETING_EXPRESSION,171.43,171.43,171.43,0,7,ENABLED,"asin=""B0DBLHXG3Z""",0.0,6,180.0,6,7,2.43,7,Inner-SP-KW-Berberine Capsules-PAT,287272276943680,1.7661900756938604,0,29.773085224289797,7,0,189812334889736.0,USD,3.358738244514107,7,7,522284620832806,171.43,0.11,0,171.43,301827846242541,0,1.0,"asin=""B0DBLHXG3Z""",6,0,6,DAILY_BUDGET,ENABLED,TARGETING_EXPRESSION,6,7,51.04,Amazon,171.43,29.773085224289797,171.43,1189,6,6,6,21,Inner-SP-KW-Berberine Capsules-PAT,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40717,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-16,97.96,2.630504833512352,4,TARGETING_EXPRESSION,97.96,97.96,97.96,0,4,ENABLED,"asin=""B0DBLHXG3Z""",0.0,4,180.0,4,4,2.48,4,Inner-SP-KW-Berberine Capsules-PAT,287272276943680,0.9247842170160296,0,38.015516537362195,4,0,189812334889736.0,USD,2.630504833512352,4,4,522284620832806,97.96,4.03,0,97.96,301827846242541,0,1.0,"asin=""B0DBLHXG3Z""",4,0,4,DAILY_BUDGET,ENABLED,TARGETING_EXPRESSION,4,4,37.24,Amazon,97.96,38.015516537362195,97.96,1622,4,4,4,15,Inner-SP-KW-Berberine Capsules-PAT,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40718,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-17,48.98,1.1717703349282296,2,TARGETING_EXPRESSION,48.98,48.98,48.98,0,2,ENABLED,"asin=""B0DBLHXG3Z""",0.0,2,180.0,2,2,2.46,2,Inner-SP-KW-Berberine Capsules-PAT,287272276943680,1.1502029769959403,0,85.34095549203757,2,0,189812334889736.0,USD,1.1717703349282296,2,2,522284620832806,48.98,0.92,0,48.98,301827846242541,0,1.0,"asin=""B0DBLHXG3Z""",2,0,2,DAILY_BUDGET,ENABLED,TARGETING_EXPRESSION,2,2,41.8,Amazon,48.98,85.34095549203757,48.98,1478,2,2,2,17,Inner-SP-KW-Berberine Capsules-PAT,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40722,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-11,0.0,0.0,0,EXACT,0.0,0.0,0.0,0,0,ENABLED,magnesium glycinate gummies,0.0,0,600.0,0,0,1.62,0,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,552923299547324,0.4660452729693742,0,nan,0,0,269179459475581.0,USD,0.0,0,0,321320371298455,0.0,0.03,0,0.0,439217402283731,0,1.5,magnesium glycinate gummies,0,0,0,DAILY_BUDGET,ENABLED,EXACT,0,0,11.37,Amazon,0.0,nan,0.0,1502,0,0,0,7,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40723,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-12,0.0,0.0,0,EXACT,0.0,0.0,0.0,0,0,ENABLED,magnesium glycinate gummies,0.0,0,600.0,0,0,1.5,0,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,552923299547324,0.3097573567372225,0,nan,0,0,269179459475581.0,USD,0.0,0,0,321320371298455,0.0,0.04,0,0.0,439217402283731,0,1.5,magnesium glycinate gummies,0,0,0,DAILY_BUDGET,ENABLED,EXACT,0,0,8.98,Amazon,0.0,nan,0.0,1937,0,0,0,6,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40724,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-13,0.0,0.0,0,EXACT,0.0,0.0,0.0,0,0,ENABLED,magnesium glycinate gummies,0.0,0,600.0,0,0,1.5,0,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,552923299547324,0.291970802919708,0,nan,0,0,269179459475581.0,USD,0.0,0,0,321320371298455,0.0,0.08,0,0.0,439217402283731,0,1.5,magnesium glycinate gummies,0,0,0,DAILY_BUDGET,ENABLED,EXACT,0,0,12.0,Amazon,0.0,nan,0.0,2740,0,0,0,8,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40725,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-14,209.85,1.1678392745465915,18,EXACT,223.84,298.78,223.84,0,15,ENABLED,magnesium glycinate gummies,74.94,16,600.0,19,16,3.05,19,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,552923299547324,2.5172310458495653,0,85.62822143383092,19,0,269179459475581.0,USD,1.1678392745465915,16,19,321320371298455,223.84,5.08,0,284.79,439217402283731,0,1.5,magnesium glycinate gummies,16,3,15,DAILY_BUDGET,ENABLED,EXACT,18,16,255.84,Amazon,298.78,85.62822143383092,298.78,3337,16,19,19,84,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
40726,2026-04-21 01:59:27.050291,2026-04-21 01:59:27.050291,2026-04-15,349.75,1.2611405835543765,27,EXACT,433.69,475.45,433.69,0,25,ENABLED,magnesium glycinate gummies,41.76,30,600.0,32,31,3.02,33,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,552923299547324,2.4390243902439024,0,79.29330108318436,33,0,269179459475581.0,USD,1.2611405835543765,31,33,321320371298455,433.69,6.12,0,391.51,439217402283731,0,1.5,magnesium glycinate gummies,30,2,24,DAILY_BUDGET,ENABLED,EXACT,26,31,377.0,Amazon,475.45,79.29330108318436,475.45,5125,30,32,32,125,Inner-SP-KW-gumm-magnesium glycinate gummies-EM-CPC-8k,spTargeting,US,INNERBRIGHTNESS,spTargeting_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:26
